instrument,lr,mediane,verdict_ou_signe,n
RETAIN-COMPOSE-LR,0.02,0.17265625298023224,RETENTION,12
RETAIN-COMPOSE-LR,0.002,0.9226562678813934,INCONCLUSIVE,12
"LOCK-002 (D=2, 14400 ép.)",0.0005,0.784375011920929,,3
"LOCK-002 (D=2, 7200 ép.)",0.002,0.16249999403953552,,3
"LOCK-002 (D=2, 14400 ép.)",0.002,0.16718749701976776,,3
CALIB-LEGACY-LEARNER R2,0.0,0.12635416666666666,0/12 au-dessus,12
CALIB-LEGACY-LEARNER R2,0.04,0.1967163941600032,9/12 au-dessus,12
CALIB-LEGACY-LEARNER R2,0.01,0.20929361567635904,8/12 au-dessus,12
CALIB-LEGACY-LEARNER R2,0.004,0.31023224043715847,9/12 au-dessus,12
CALIB-LEGACY-LEARNER R2,0.001,0.44947584188734974,12/12 au-dessus,12
