condition,lr,resurrections_mediane,hit_last_mediane
sans garde (P3.4),0.04,18265.0,0.24875
sans garde (P3.4),0.004,9967.0,0.4459722222222222
sans garde (P3.4),0.0,1708.0,0.1278503787878788
sans garde (R1),0.01,15970.0,0.3032826119627292
sans garde (R1),0.001,5619.5,0.5180790645879733
sous garde E28 (R2),0.0,5.5,0.12635416666666666
sous garde E28 (R2),0.04,139.5,0.1967163941600032
sous garde E28 (R2),0.01,64.0,0.20929361567635904
sous garde E28 (R2),0.004,29.5,0.31023224043715847
sous garde E28 (R2),0.001,216.0,0.44947584188734974
